taxonID,taxonRank,scientificName,establishmentMeans,genus,family,order,class,phylum,kingdom,datasetName
urn:lsid:biodiversity.org.au:afd.taxon:e6799339-3a4b-4a34-9002-19bde21d06f0,subspecies,Macropus eugenii derbianus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:243fdcaa-a28b-476f-bd47-6c755b911d0f,species,Polyrhachis macropus,,Polyrhachis,FORMICIDAE,HYMENOPTERA,INSECTA,ARTHROPODA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:0a2ec68b-05d8-4b40-8536-0bf9f9bd6bf2,species,Eutrombicula macropus,,Eutrombicula,TROMBICULIDAE,TROMBIDIFORMES,ARACHNIDA,ARTHROPODA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:536b01fc-16a3-408a-b47d-53613ca65b77,subspecies,Falco (Hierofalco) peregrinus macropus,,Falco,FALCONIDAE,FALCONIFORMES,AVES,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:ec13cfac-4783-46c2-9ad3-50e2c60f1348,species,Macropus bernardus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:837ae3f6-8e54-4ded-a0fd-679145dc7887,subspecies,Macropus agilis nigrescens,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:77528beb-f667-4c1e-9845-c5822109d60b,species,Acanthomunna macropus,,Acanthomunna,DENDROTIIDAE,ISOPODA,MALACOSTRACA,ARTHROPODA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:d469add5-f4f6-4271-a48f-f67cca445a07,species,Macropus antilopinus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:0f2116b0-07d7-4788-9c93-d482530af868,subspecies,Macropus rufogriseus banksianus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:50cae89d-9af7-4901-883d-7db6c5cc3116,species,Macropus agilis,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:baa8c519-fa4f-47e3-ade0-ff6b67a1f9ce,subspecies,Macropus rufogriseus rufogriseus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:ea9493e5-3386-413e-9844-f213ddc96938,subspecies,Macropus robustus isabellinus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:c42a3e19-eeff-4282-8366-ab3ee2f4f73c,species,Macropus greyi,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:4873ea38-7e84-473d-a4f1-c7a47257f6d4,species,Calostaurus macropus,,Calostaurus,DAVAINEIDAE,CYCLOPHYLLIDEA,CESTODA,PLATYHELMINTHES,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:76013020-e8ee-4143-9d79-d44cd48ab4f3,subspecies,Macropus robustus erubescens,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:dd61423a-f07f-4517-93c9-28b2d5369c30,species,Macropus parma,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:2da83de9-a0e2-486f-b228-4e40a606bcf4,subspecies,Macropus robustus robustus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2,species,Macropus giganteus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:102c2bde-cebf-4de7-9cfd-79c68a0b54bb,species,Macropus rufogriseus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:31a9b8b8-4e8f-4343-a15f-2ed24e0bf1ae,species,Macropus rufus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:df5d47f0-2353-4c8f-aacf-f134b16f261d,species,Myotis macropus,,Myotis,VESPERTILIONIDAE,CHIROPTERA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:4df3511b-0bd0-4e57-83e0-4a267b5a6306,species,Macropus dorsalis,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
